,mac,zone,floor,strength,ssid
2204,50:17:ff:df:70:40,11.0,3.0,-67.0,bmstu_lb
1132,00:26:52:d8:82:10,2.0,2.0,-78.0,bmstu_lb
1145,00:26:52:d8:82:10,2.0,2.0,-78.0,bmstu_lb
1606,00:26:52:d8:7e:b1,10.0,3.0,-60.0,bmstu_staff
1629,00:26:52:d8:7e:b1,10.0,3.0,-56.0,bmstu_staff
2006,00:26:52:d8:7b:d1,14.0,3.0,-63.0,bmstu_staff
3988,64:d1:54:02:ac:a2,9.0,5.0,-76.0,NMKN-RoC
4003,64:d1:54:02:ac:a2,9.0,5.0,-81.0,NMKN-RoC
4015,64:d1:54:02:ac:a2,9.0,5.0,-81.0,NMKN-RoC
4150,c0:3f:0e:e1:5c:4c,14.0,5.0,-83.0,rk9-metodroom
4161,c0:3f:0e:e1:5c:4c,14.0,5.0,-83.0,rk9-metodroom
2515,58:ac:78:57:e3:90,15.0,3.0,-55.0,bmstu_student
3250,50:17:ff:de:08:29,15.0,4.0,-59.0,bmstu_guest
107,50:ff:20:1c:c0:1b,4.0,2.0,-71.0,e10-a3
127,5c:f4:ab:ce:c1:d8,4.0,2.0,-67.0,Keenetic-0409
755,00:26:52:d8:75:91,6.0,2.0,-78.0,bmstu_staff
1548,c0:25:5c:82:26:59,4.0,2.0,-71.0,bmstu_guest
12,cc:5d:4e:fc:9b:56,4.0,2.0,-66.0,ZyXEL_KEENETIC_GIGA_FC9B56
33,cc:5d:4e:fc:9b:56,4.0,2.0,-70.0,ZyXEL_KEENETIC_GIGA_FC9B56
53,cc:5d:4e:fc:9b:56,4.0,2.0,-70.0,ZyXEL_KEENETIC_GIGA_FC9B56
68,c0:25:5c:82:26:59,4.0,2.0,-79.0,bmstu_guest
85,c0:25:5c:82:26:51,4.0,2.0,-72.0,bmstu_staff
1436,58:ac:78:eb:e6:e0,4.0,2.0,-63.0,bmstu_student
1458,50:ff:20:39:ce:ed,4.0,2.0,-73.0,Keenetic-2054
4029,00:26:52:d8:84:71,9.0,5.0,-79.0,bmstu_staff
1226,00:26:51:af:8b:30,2.0,1.0,-87.0,bmstu_lb
3932,00:26:52:d8:84:71,9.0,5.0,-72.0,bmstu_staff
3940,64:d1:54:02:ac:a2,9.0,5.0,-72.0,NMKN-RoC
3980,d4:ca:6d:6d:7d:61,9.0,5.0,-74.0,NMKN-RoC
4038,64:d1:54:02:ac:a2,9.0,5.0,-72.0,NMKN-RoC
4050,64:d1:54:02:ac:a2,9.0,5.0,-72.0,NMKN-RoC
4084,00:26:52:d8:84:79,14.0,5.0,-58.0,bmstu_guest
763,00:26:52:d8:75:91,6.0,2.0,-78.0,bmstu_staff
778,00:26:52:d8:75:90,6.0,2.0,-71.0,bmstu_lb
4500,00:26:52:d8:75:90,6.0,2.0,-80.0,bmstu_lb
4511,5c:f4:ab:ce:2f:b0,6.0,2.0,-74.0,Terahertz_lab
4520,5c:f4:ab:ce:2f:b0,6.0,2.0,-74.0,Terahertz_lab
1198,84:16:f9:d5:76:01,2.0,2.0,-62.0,TP-LINK_7601
1724,00:26:52:d8:7b:d0,14.0,3.0,-78.0,bmstu_lb
3788,c0:3f:0e:e1:5c:4c,14.0,4.0,-60.0,rk9-metodroom
3797,c0:3f:0e:e1:5c:4c,14.0,4.0,-60.0,rk9-metodroom
3645,00:26:52:d8:82:21,11.0,4.0,-78.0,bmstu_staff
792,5c:f4:ab:ce:2f:b0,6.0,2.0,-79.0,Terahertz_lab
800,5c:f4:ab:ce:2f:b0,5.0,2.0,-79.0,Terahertz_lab
4529,5c:f4:ab:ce:2f:b0,6.0,2.0,-74.0,Terahertz_lab
0,cc:5d:4e:fc:9b:56,5.0,2.0,-71.0,ZyXEL_KEENETIC_GIGA_FC9B56
813,00:26:52:d8:85:a0,5.0,2.0,-77.0,bmstu_lb
824,00:26:52:d8:85:a1,5.0,2.0,-69.0,bmstu_staff
833,00:26:52:d8:85:a1,5.0,2.0,-69.0,bmstu_staff
848,00:26:52:d8:85:a1,5.0,2.0,-69.0,bmstu_staff
861,58:ac:78:eb:e6:e0,4.0,2.0,-58.0,bmstu_student
1096,84:16:f9:2f:84:66,3.0,2.0,-92.0,bmstu_5
1103,84:16:f9:2f:84:66,3.0,2.0,-88.0,bmstu_5
1111,84:16:f9:2f:84:66,3.0,2.0,-88.0,bmstu_5
1116,84:16:f9:2f:84:66,3.0,2.0,-75.0,bmstu_5
1127,84:16:f9:2f:84:66,3.0,2.0,-85.0,bmstu_5
1236,84:16:f9:2f:84:66,2.0,1.0,-93.0,bmstu_5
1241,84:16:f9:2f:84:66,2.0,3.0,-69.0,bmstu_5
1253,84:16:f9:2f:84:66,2.0,4.0,-66.0,bmstu_5
1263,00:26:52:d8:80:81,2.0,4.0,-69.0,bmstu_staff
1277,84:16:f9:2f:84:66,3.0,2.0,-81.0,bmstu_5
1301,00:26:52:d8:82:11,3.0,2.0,-87.0,bmstu_staff
1312,84:16:f9:2f:84:66,3.0,2.0,-86.0,bmstu_5
1323,84:16:f9:2f:84:66,3.0,2.0,-86.0,bmstu_5
147,c0:25:5c:82:1d:be,10.0,2.0,-61.0,bmstu_staff
250,c0:25:5c:82:1d:b0,14.0,2.0,-67.0,bmstu_lb
464,c0:25:5c:82:1d:be,10.0,2.0,-64.0,bmstu_staff
807,00:26:52:d8:75:99,5.0,2.0,-84.0,bmstu_guest
943,52:ff:20:54:c3:c9,3.0,2.0,-79.0,foodcort
967,50:17:ff:df:89:90,3.0,2.0,-77.0,bmstu_lb
990,52:ff:20:54:c3:c9,3.0,2.0,-64.0,foodcort
1016,52:ff:20:54:c3:c9,3.0,2.0,-64.0,foodcort
1335,58:ac:78:eb:e6:e1,3.0,2.0,-89.0,bmstu_guest
1347,52:ff:20:54:c3:c9,3.0,2.0,-87.0,foodcort
1362,52:ff:20:54:c3:c9,3.0,2.0,-87.0,foodcort
1375,52:ff:20:54:c3:c9,3.0,2.0,-74.0,foodcort
1394,52:ff:20:54:c3:c9,3.0,2.0,-74.0,foodcort
1418,52:ff:20:54:c3:c9,3.0,2.0,-76.0,foodcort
1682,00:26:52:d8:7e:b1,10.0,3.0,-57.0,bmstu_staff
2053,00:26:52:d8:7e:b0,10.0,3.0,-62.0,bmstu_lb
2102,00:26:52:d8:7e:b9,10.0,3.0,-62.0,bmstu_guest
2113,00:26:52:d8:7e:b9,10.0,3.0,-62.0,bmstu_guest
2239,50:17:ff:df:81:16,11.0,3.0,-66.0,bmstu_guest
2472,58:ac:78:57:e3:92,15.0,3.0,-62.0,bmstu_staff
2551,58:ac:78:57:e3:91,15.0,3.0,-60.0,bmstu_guest
2581,58:ac:78:57:e3:91,15.0,3.0,-67.0,bmstu_guest
2608,80:e0:1d:d7:ff:31,15.0,3.0,-59.0,bmstu_guest
